 -0.9271   5.8468 1
 -0.6237   5.7656 1
 -0.3136   5.7164 1
 -0.0000   5.7000 1
  0.3136   5.7164 1
  0.6237   5.7656 1
  0.9271   5.8468 1
  1.2202   5.9594 1
  1.5000   6.1019 1
  1.7634   6.2729 1
  2.0074   6.4706 1
  2.2294   6.6926 1
  2.4271   6.9366 1
  2.5981   7.2000 1
  2.7406   7.4798 1
  2.8532   7.7729 1
  2.9344   8.0763 1
  2.9836   8.3864 1
  3.3000   8.7000 1
  3.2851   9.0137 1
  3.2404   9.3245 1
  3.1663   9.6297 1
  3.0636   9.9265 1
  2.9332  10.2121 1
  2.7761  10.4841 1
  2.5940  10.7399 1
  2.3883  10.9773 1
  2.1610  11.1940 1
  1.9142  11.3881 1
  1.6500  11.5579 1
  1.3709  11.7018 1
  1.0793  11.8185 1
  0.7780  11.9070 1
  0.4696  11.9664 1
  0.1570  11.9963 1
 -0.1570  11.9963 1
 -0.4696  11.9664 1
 -0.7780  11.9070 1
 -1.0793  11.8185 1
 -1.3709  11.7018 1
 -1.6500  11.5579 1
 -1.9142  11.3881 1
 -2.1610  11.1940 1
 -2.3883  10.9773 1
 -2.5940  10.7399 1
 -2.7761  10.4841 1
 -2.9332  10.2121 1
 -3.0636   9.9265 1
 -3.1663   9.6297 1
 -3.2404   9.3245 1
 -3.2851   9.0137 1
 -3.3000   8.7000 1
 -3.2851   8.3863 1
 -3.2404   8.0755 1
 -3.1663   7.7703 1
 -3.0636   7.4735 1
 -2.9332   7.1879 1
 -2.7761   6.9159 1
 -2.5940   6.6601 1
 -2.3883   6.4227 1
 -2.1610   6.2060 1
 -1.9142   6.0119 1
 -1.6500   5.8421 1
 -1.3709   5.6982 1
 -1.0793   5.5815 1
 -0.7780   5.4930 1
 -0.4696   5.4336 1
 -0.1570   5.4037 1
  0.1570   5.4037 1
  0.4696   5.4336 1
  0.7780   5.4930 1
  1.0793   5.5815 1
  1.3709   5.6982 1
  1.6500   5.8421 1
  1.9142   6.0119 1
  2.1610   6.2060 1
  2.3883   6.4227 1
  2.5940   6.6601 1
  2.7761   6.9159 1
  2.9332   7.1879 1
  3.0636   7.4735 1
  3.1663   7.7703 1
  3.2404   8.0755 1
  3.2851   8.3863 1
  3.6000   8.7000 1
  3.5863   9.0138 1
  3.5453   9.3251 1
  3.4773   9.6317 1
  3.3829   9.9313 1
  3.2627  10.2214 1
  3.1177  10.5000 1
  2.9489  10.7649 1
  2.7578  11.0140 1
  2.5456  11.2456 1
  2.3140  11.4578 1
  2.0649  11.6489 1
  1.8000  11.8177 1
  1.5214  11.9627 1
  1.2313  12.0829 1
  0.9317  12.1773 1
  0.6251  12.2453 1
  0.3138  12.2863 1
  0.0000  12.3000 1
 -0.3138  12.2863 1
 -0.6251  12.2453 1
 -0.9317  12.1773 1
 -1.2313  12.0829 1
 -1.5214  11.9627 1
 -1.8000  11.8177 1
 -2.0649  11.6489 1
 -2.3140  11.4578 1
 -2.5456  11.2456 1
 -2.7578  11.0140 1
 -2.9489  10.7649 1
 -3.1177  10.5000 1
 -3.2627  10.2214 1
 -3.3829   9.9313 1
 -3.4773   9.6317 1
 -3.5453   9.3251 1
 -3.5863   9.0138 1
 -3.6000   8.7000 1
 -3.5863   8.3862 1
 -3.5453   8.0749 1
 -3.4773   7.7683 1
 -3.3829   7.4687 1
 -3.2627   7.1786 1
 -3.1177   6.9000 1
 -2.9489   6.6351 1
 -2.7578   6.3860 1
 -2.5456   6.1544 1
 -2.3140   5.9422 1
 -2.0649   5.7511 1
 -1.8000   5.5823 1
 -1.5214   5.4373 1
 -1.2313   5.3171 1
 -0.9317   5.2227 1
 -0.6251   5.1547 1
 -0.3138   5.1137 1
 -0.0000   5.1000 1
  0.3138   5.1137 1
  0.6251   5.1547 1
  0.9317   5.2227 1
  1.2313   5.3171 1
  1.5214   5.4373 1
  1.8000   5.5823 1
  2.0649   5.7511 1
  2.3140   5.9422 1
  2.5456   6.1544 1
  2.7578   6.3860 1
  2.9489   6.6351 1
  3.1177   6.9000 1
  3.2627   7.1786 1
  3.3829   7.4687 1
  3.4773   7.7683 1
  3.5453   8.0749 1
  3.5863   8.3862 1
  3.9000   8.7000 1
  3.8874   9.0138 1
  3.8495   9.3256 1
  3.7867   9.6333 1
  3.6993   9.9350 1
  3.5879  10.2287 1
  3.4533  10.5124 1
  3.2962  10.7844 1
  3.1178  11.0429 1
  2.9192  11.2862 1
  2.7016  11.5127 1
  2.4665  11.7210 1
  2.2155  11.9096 1
  1.9500  12.0775 1
  1.6719  12.2235 1
  1.3830  12.3466 1
  1.0850  12.4460 1
  0.7801  12.5212 1
  0.4701  12.5716 1
  0.1570  12.5968 1
 -0.1570  12.5968 1
 -0.4701  12.5716 1
 -0.7801  12.5212 1
 -1.0850  12.4460 1
 -1.3830  12.3466 1
 -1.6719  12.2235 1
 -1.9500  12.0775 1
 -2.2155  11.9096 1
 -2.4665  11.7210 1
 -2.7016  11.5127 1
 -2.9192  11.2862 1
 -3.1178  11.0429 1
 -3.2962  10.7844 1
 -3.4533  10.5124 1
 -3.5879  10.2287 1
 -3.6993   9.9350 1
 -3.7867   9.6333 1
 -3.8495   9.3256 1
 -3.8874   9.0138 1
 -3.9000   8.7000 1
 -3.8874   8.3862 1
 -3.8495   8.0744 1
 -3.7867   7.7667 1
 -3.6993   7.4650 1
 -3.5879   7.1713 1
 -3.4533   6.8876 1
 -3.2962   6.6156 1
 -3.1178   6.3571 1
 -2.9192   6.1138 1
 -2.7016   5.8873 1
 -2.4665   5.6790 1
 -2.2155   5.4904 1
 -1.9500   5.3225 1
 -1.6719   5.1765 1
 -1.3830   5.0534 1
 -1.0850   4.9540 1
 -0.7801   4.8788 1
 -0.4701   4.8284 1
 -0.1570   4.8032 1
  0.1570   4.8032 1
  0.4701   4.8284 1
  0.7801   4.8788 1
  1.0850   4.9540 1
  1.3830   5.0534 1
  1.6719   5.1765 1
  1.9500   5.3225 1
  2.2155   5.4904 1
  2.4665   5.6790 1
  2.7016   5.8873 1
  2.9192   6.1138 1
  3.1178   6.3571 1
  3.2962   6.6156 1
  3.4533   6.8876 1
  3.5879   7.1713 1
  3.6993   7.4650 1
  3.7867   7.7667 1
  3.8495   8.0744 1
  3.8874   8.3862 1
  4.2000   8.7000 1
  4.1883   9.0139 1
  4.1531   9.3260 1
  4.0947   9.6346 1
  4.0134   9.9380 1
  3.9097  10.2344 1
  3.7841  10.5223 1
  3.6373  10.8000 1
  3.4702  11.0659 1
  3.2837  11.3187 1
  3.0788  11.5567 1
